"dates","PT","NL","IT","IE","GR","GB","FR","ES","DE","BE"
2007-01-26,0.21256911946945,0.14310943267699,-0.209489314377602,-0.187407690937071,-0.346078368336438,0.308125351243551,-0.0595165714810428,0.715487428647364,0.280037300723356,0.294409767425149
2007-01-29,0.225298376817465,0.136210547246647,-0.27557319909463,-0.152744126793499,-0.417400981161191,0.334147776088325,-0.0170360972967802,0.713469702970916,0.170337211649081,0.289310918832556
2007-01-30,0.22279978310342,-0.168158821127714,-0.242660900159216,-0.146655665804073,-0.429654240533196,0.337399891386571,-0.0208766760500851,0.714456119206357,0.14012373970783,0.332331441976878
2007-01-31,0.171228588370639,-0.112094395280236,-0.237561544496699,-0.111529159386404,-0.464044633341879,0.334697352262031,-0.173061435921361,0.728175567199388,0.141141776447204,0.370267194115952
2007-02-01,0.20748026687327,-0.0298713508063713,-0.0961036836467145,0.0210768831293582,-0.497389044790357,0.338315577721645,-0.207616465609716,0.725476538767107,0.151643624596656,0.328811796540104
2007-02-02,0.150958496576563,-0.0819917421824399,-0.0450148121924154,0.0111566015805619,-0.532702409933872,0.315584340091474,-0.206797590123397,0.500115482716213,0.0909549675548874,0.303725810814643
2007-02-05,0.1474073933569,-0.100916096169288,-0.0594243610920442,0.0343229059093798,-0.491752331149794,0.29247975495837,-0.222592123352092,0.177374338918063,0.102208904589821,-0.137329665782299
2007-02-06,0.120702237084824,-0.0899774209771294,-0.00388395648989075,0.0608905107489349,-0.51718345236894,0.282525524217946,-0.224877568369552,-0.0601113089778288,0.0518533454509973,-0.102346342238885
2007-02-07,0.0967902335139743,-0.0356289678869332,0.0252425859522171,0.0902660727822176,-0.515116258385687,0.26988712739828,-0.171078549702155,-0.0517500823633061,0.00653061202556085,-0.139939237915445
2007-02-08,0.016116806040907,-0.0478013520826554,0.0296096154675813,0.165574816209609,-0.530929967800304,0.157960023510944,-0.17276416038531,-0.211429049201131,0.0518369705637342,-0.150132113749498
2007-02-09,-0.00431700817614414,-0.071755372394111,0.051539131838485,0.165376656650121,-0.530929967800304,0.104038154551876,-0.191503936615861,-0.202999485735288,0.245694299143239,-0.127406660606334
